,股票代码,accounting_period,序号,股票简称,首次预约时间,一次变更日期,二次变更日期,三次变更日期,实际披露时间,净利润-同比增长,净利润-净利润,公告日期,trade_date,time_distance
2,000596,2022-06-30,4216,古井贡酒,2022-08-31,,,,2022-08-31,39.165664044692,1918821503.75,2022-07-30,2022-07-31,31 days
3,000670,2022-06-30,3445,盈方微,2022-08-30,2022-07-26,2022-07-28,,2022-07-28,657.604179418642,5741799.8,2022-07-27,2022-07-31,30 days
5,002054,2022-06-30,1141,德美化工,2022-08-23,,,,2022-08-23,34.35477175732,82858200.0,2022-07-29,2022-07-31,23 days
8,002212,2022-03-31,154,天融信,2022-04-20,2022-04-30,,,2022-04-30,32.136971653807,-64735900.0,2022-04-26,2022-07-31,-102 days
9,002258,2022-06-30,160,利尔化学,2022-08-06,2022-08-09,,,2022-08-09,107.443718062641,1047493900.0,2022-07-07,2022-07-31,6 days
10,002276,2022-03-31,3926,万马股份,2022-04-30,,,,2022-04-30,199.762562068403,40644308.39,2022-04-18,2022-07-31,-92 days
11,002286,2022-06-30,1652,保龄宝,2022-08-25,,,,2022-08-25,40.209266902285,90498534.91,2022-07-23,2022-07-31,25 days
13,002386,2022-03-31,2881,天原股份,2022-04-29,,,,2022-04-29,41.225947262145,171213300.0,2022-04-13,2022-07-31,-93 days
14,002422,2022-03-31,1338,科伦药业,2022-04-27,,,,2022-04-27,66.08564800301,291379000.0,2022-04-19,2022-07-31,-95 days
23,301269,2022-06-30,3849,华大九天,2022-08-30,2022-08-25,,,2022-08-25,102.84500556683,40000000.0,2022-07-25,2022-07-31,30 days
24,301288,2022-03-31,3262,清研环境,2022-04-29,,,,2022-04-29,52.40779094796,8162900.0,2022-04-18,2022-07-31,-93 days
26,600025,2022-06-30,2910,华能水电,2022-08-27,,,,2022-08-27,42.635316217574,3842396300.0,2022-07-22,2022-07-31,27 days
28,600039,2022-03-31,3276,四川路桥,2022-04-29,,,,2022-04-29,30.918114210035,1572342000.0,2022-04-22,2022-07-31,-93 days
29,600063,2022-06-30,778,皖维高新,2022-08-19,,,,2022-08-19,100.126436587517,959980700.0,2022-07-23,2022-07-31,19 days
30,600111,2022-06-30,2371,北方稀土,2022-08-26,,,,2022-08-26,52.159736839352,3097676900.0,2022-07-22,2022-07-31,26 days
31,600233,2022-06-30,2389,圆通速递,2022-08-26,,,,2022-08-26,174.24392737242,1770580500.0,2022-07-08,2022-07-31,26 days
34,600328,2022-06-30,783,中盐化工,2022-08-19,,,,2022-08-19,81.292272231971,1394385400.0,2022-07-22,2022-07-31,19 days
35,600497,2022-06-30,2411,驰宏锌锗,2022-08-26,,,,2022-08-26,70.252007998,1016743800.0,2022-07-22,2022-07-31,26 days
40,600821,2022-06-30,4501,金开新能,2022-08-31,,,,2022-08-31,58.937203362892,348000000.0,2022-07-22,2022-07-31,31 days
41,600863,2022-06-30,1863,内蒙华电,2022-08-25,,,,2022-08-25,142.009000168053,1166461600.0,2022-07-22,2022-07-31,25 days
42,600908,2022-06-30,3017,无锡银行,2022-08-27,,,,2022-08-27,30.268199233717,1020000000.0,2022-07-11,2022-07-31,27 days
46,601068,2022-06-30,208,中铝国际,2022-08-09,,,,2022-08-09,1871.07052362785,66343416.18,2022-07-22,2022-07-31,9 days
51,601975,2022-06-30,4585,招商南油,2022-08-31,2022-08-18,,,2022-08-18,107.914147688451,432787086.76,2022-07-22,2022-07-31,31 days
53,603088,2022-06-30,2521,宁波精达,2022-08-26,,,,2022-08-26,90.295760382,65756700.0,2022-07-22,2022-07-31,26 days
55,603200,2022-06-30,121,上海洗霸,2022-08-02,,,,2022-08-02,171.510133021359,50480039.28,2022-07-22,2022-07-31,2 days
57,603456,2022-06-30,149,九洲药业,2022-08-05,,,,2022-08-05,69.687996885427,466365400.0,2022-07-22,2022-07-31,5 days
61,603813,2022-06-30,535,原尚股份,2022-08-17,,,,2022-08-17,129.187198920103,24058931.18,2022-07-22,2022-07-31,17 days
62,603868,2022-06-30,479,飞科电器,2022-08-16,,,,2022-08-16,45.358504414943,456280200.0,2022-07-12,2022-07-31,16 days
63,603896,2022-03-31,4502,寿仙谷,2022-04-30,2022-04-28,,,2022-04-28,40.155678606498,57790970.91,2022-04-07,2022-07-31,-92 days
64,603993,2022-03-31,3638,洛阳钼业,2022-04-29,,,,2022-04-29,77.878413866435,1792062256.48,2022-04-27,2022-07-31,-93 days
66,605016,2022-03-31,3642,百龙创园,2022-04-29,,,,2022-04-29,133.376307858035,40729300.0,2022-04-09,2022-07-31,-93 days
67,605123,2022-06-30,4668,派克新材,2022-08-31,,,,2022-08-31,62.348915290747,229261445.53,2022-07-22,2022-07-31,31 days
69,688363,2022-06-30,4157,华熙生物,2022-08-30,,,,2022-08-30,30.490417174056,470492509.26,2022-07-21,2022-07-31,30 days
